rouge1_f1,rouge1_precision,rouge1_recall,rouge2_f1,rouge2_precision,rouge2_recall,rougeL_f1,rougeL_precision,rougeL_recall,generated_length,reference_length,num_chunks,compression_ratio,token_efficiency
0.5377643504531723,0.5144508670520231,0.5632911392405063,0.1458966565349544,0.13953488372093023,0.15286624203821655,0.19939577039274928,0.1907514450867052,0.2088607594936709,160,149,3.0,10.649532710280374,90.56521739130434
0.36241610738255037,0.432,0.31213872832369943,0.06756756756756757,0.08064516129032258,0.05813953488372093,0.15436241610738255,0.184,0.1329479768786127,120,169,2.0,6.120689655172414,84.44863336475024
0.4414893617021276,0.3738738738738739,0.538961038961039,0.13903743315508024,0.11764705882352941,0.16993464052287582,0.25,0.21171171171171171,0.3051948051948052,212,149,3.0,8.862745098039216,87.62157382847037
0.08994708994708994,0.3269230769230769,0.05214723926380368,0.005319148936170213,0.0196078431372549,0.003076923076923077,0.06349206349206349,0.23076923076923078,0.03680981595092025,53,311,6.0,52.4625,86.99594368885707
0.4007561436672968,0.4796380090497738,0.34415584415584416,0.049335863377609104,0.05909090909090909,0.04234527687296417,0.13988657844990549,0.167420814479638,0.12012987012987013,213,296,5.0,16.32941176470588,88.33693304535637
0.43386243386243384,0.5694444444444444,0.3504273504273504,0.13829787234042554,0.18181818181818182,0.11158798283261803,0.1798941798941799,0.2361111111111111,0.1452991452991453,141,223,4.0,10.80295566502463,82.3985408116735
0.38759689922480617,0.3605769230769231,0.41899441340782123,0.1142857142857143,0.10628019323671498,0.12359550561797752,0.186046511627907,0.17307692307692307,0.2011173184357542,199,178,2.0,4.968627450980392,91.40378548895899
0.4919786096256685,0.6388888888888888,0.4,0.1881720430107527,0.24475524475524477,0.15283842794759825,0.23529411764705882,0.3055555555555556,0.19130434782608696,137,222,3.0,6.883333333333334,80.59822150363783
0.1794019933554817,0.3103448275862069,0.1261682242990654,0.006688963210702342,0.011627906976744186,0.004694835680751174,0.09966777408637874,0.1724137931034483,0.07009345794392523,87,201,2.0,2.6416666666666666,88.21656050955414
0.45789473684210524,0.4371859296482412,0.48066298342541436,0.14814814814814814,0.1414141414141414,0.15555555555555556,0.17368421052631577,0.1658291457286432,0.18232044198895028,193,176,4.0,9.48235294117647,86.5924092409241
